finished,informed_consent,screener,age,gender,nationality,base_state,position_position,air_carrier_type,experience,total_flying_hours,military_experience,general_1,general_2,general_3,general_4,general_5,general_6,financial_1,financial_2,financial_3,financial_4,financial_5,financial_6,qo_l_1,qo_l_2,qo_l_3,qo_l_4,qo_l_5,qo_l_6,professional_1,professional_2,professional_3,professional_4,professional_5,recognition_1,recognition_3,recognition_4,recognition_7,schedule_1,schedule_2,schedule_3,schedule_4,schedule_5,operational_1,operational_2,operational_3,operational_4,operational_5,leaving,when,why
TRUE,YES,YES,31,Male,United States of America,Pennsylvania,First Officer,Regional Airline,1,2000,Never served in the military,2,1,6,4,3,5,1,3,4,6,2,5,3,2,4,1,6,5,1,3,2,5,4,2,1,3,4,1,5,4,2,3,2,4,1,5,3,Yes,3-4 years,Better pay/benefits at national/legacy carrier
TRUE,YES,YES,27,Male,United States of America,NA,Captain,Regional Airline,2,2100,Never served in the military,1,4,5,3,2,6,1,3,2,4,5,6,3,4,5,1,6,2,2,3,1,5,4,1,2,3,4,5,3,1,2,4,4,5,1,3,2,Yes,Within 1 year,Horrible QOL. Only flies in the northeast. Little respect for pilots(was told there was nothing in the contract about how I feel)
TRUE,YES,YES,30,Male,United States of America,Indiana,Captain,Regional Airline,3,3100,Never served in the military,2,1,5,6,3,4,2,3,4,5,1,6,2,4,3,5,6,1,1,5,2,3,4,3,2,1,4,5,3,1,4,2,2,3,4,5,1,Yes,1-2 years,"More job security, higher pay, more opportunities"
TRUE,YES,YES,42,Female,United States of America,Colorado,First Officer,Low Cost Carrier,6,5000,Never served in the military,3,5,4,6,1,2,2,5,4,3,1,6,1,4,2,5,6,3,1,3,2,4,5,3,2,1,4,4,5,1,2,3,4,1,2,5,3,No,NA,NA
TRUE,YES,YES,49,Male,United States of America,Florida,Captain,Legacy/Mainline Part 121 Airline,28,16500,Never served in the military,1,3,4,6,2,5,1,5,4,2,3,6,2,3,6,1,4,5,2,5,1,4,3,4,1,2,3,2,5,3,1,4,3,5,2,1,4,No,NA,NA
TRUE,YES,YES,27,Male,United States of America,Illinois,First Officer,Regional Airline,1,1950,Never served in the military,3,1,5,6,2,4,2,3,4,5,1,6,3,4,6,1,5,2,1,3,5,2,4,3,2,1,4,5,1,2,3,4,1,4,2,3,5,Yes,over 4 years,Leave for mainline
TRUE,YES,YES,21,Male,United States of America,New Jersey,First Officer,Regional Airline,1,1600,Never served in the military,5,2,3,6,4,1,2,3,5,4,1,6,2,3,4,1,5,6,1,3,2,4,5,4,3,1,2,1,2,3,4,5,4,5,1,3,2,Yes,3-4 years,Upgrade to legacy
TRUE,YES,YES,60,Male,New Zealand,New York,Captain,Charter/Fractional (Part 135/91K),30,21000,Never served in the military,2,1,3,6,5,4,1,4,3,5,2,6,2,3,4,5,6,1,1,3,4,2,5,3,2,1,4,3,1,4,5,2,4,1,2,5,3,Maybe,Within 1 year,Better professional development and remuneration
TRUE,YES,YES,62,Male,United States of America,New York,Captain,Charter/Fractional (Part 135/91K),22,22000,Never served in the military,1,2,4,5,3,6,1,5,3,4,2,6,1,4,5,3,6,2,1,3,2,4,5,3,1,2,4,1,3,4,5,2,1,2,4,5,3,No,NA,NA
TRUE,YES,YES,24,Male,United States of America,Pennsylvania,First Officer,Regional Airline,2,1950,Never served in the military,1,2,4,6,3,5,1,2,3,5,4,6,4,5,6,1,3,2,1,4,2,5,3,3,2,1,4,4,3,5,1,2,1,2,4,5,3,Yes,1-2 years,Would like to leave for better opportunities and pay beyond the regional level
TRUE,YES,YES,31,Male,United States of America,California,First Officer,Legacy/Mainline Part 121 Airline,7,4500,Never served in the military,2,1,3,6,4,5,2,3,4,5,1,6,3,5,4,1,6,2,2,3,1,5,4,4,2,1,3,4,2,1,5,3,4,5,2,3,1,No,NA,NA
